state_name,semester,wic_chan
Alabama,0319,-1.575858886625225
Alabama,0618,.9567691416773716
Alabama,0619,1.726700162762729
Alabama,0918,1.771537355246866
Alabama,1218,-6.033229321527179
Alaska,0319,-2.193117934144684
Alaska,0618,1.29244507108448
Alaska,0619,-.4926730672056623
Alaska,0918,-3.027491010323624
Alaska,1218,-4.389952153110044
American Samoa,0319,-3.169014084507038
American Samoa,0618,-5.125780215623221
American Samoa,0619,-.121212121212122
American Samoa,0918,1.814194577352479
American Samoa,1218,-.6657528881926722
Arizona,0319,-.8512375926623905
Arizona,0618,-.9292228181667972
Arizona,0619,-.3872960557579574
Arizona,0918,.0363953444288523
Arizona,1218,-3.353975123737052
Arkansas,0319,-4.593418428981034
Arkansas,0618,.2333351742419998
Arkansas,0619,-.9732879742490597
Arkansas,0918,.293400553741896
Arkansas,1218,-5.276747699491824
California,0319,-1.934161826143588
California,0618,-.9921332643199499
California,0619,-1.527071200329155
California,0918,-2.188522627504186
California,1218,-5.486013643633514
Colorado,0319,-1.558949297495416
Colorado,0618,-.8755932758177321
Colorado,0619,.7409337999850996
Colorado,0918,-1.599188612267521
Colorado,1218,-2.147728226086754
Connecticut,0319,-2.301575329181305
Connecticut,0618,.6506710044733577
Connecticut,0619,-.0772030440057359
Connecticut,0918,-.7995746943115334
Connecticut,1218,-1.886428433621301
Delaware,0319,-2.616541353383461
Delaware,0618,2.280467039649725
Delaware,0619,-3.668931439159973
Delaware,0918,2.52690409655747
Delaware,1218,-3.003943400603104
District of Columbia,0319,.0344916788824756
District of Columbia,0618,-1.194078678334831
District of Columbia,0619,1.965347814843543
District of Columbia,0918,.9850177965400109
District of Columbia,1218,-3.704918032786886
Florida,0319,-1.247365948281876
Florida,0618,-.330967073415922
Florida,0619,-3.97236818242841
Florida,0918,.1817718320162198
Florida,1218,-5.434852357086751
Georgia,0319,-.646164358465251
Georgia,0618,-2.302280768403375
Georgia,0619,.7051869866836702
Georgia,0918,-.8512572089820036
Georgia,1218,-4.989793603991832
Idaho,0319,-.7441949599156783
Idaho,0618,-2.855882352941175
Idaho,0619,-2.181747972712056
Idaho,0918,-2.606800084773986
Idaho,1218,-2.303531459835861
Illinois,0319,.2679214320400636
Illinois,0618,-.9339297588103701
Illinois,0619,-.3039462916882396
Illinois,0918,-.8822243239670069
Illinois,1218,-6.416761146480477
Indiana,0319,-.3359935862395691
Indiana,0618,-.6364072172469148
Indiana,0619,-1.467706078511677
Indiana,0918,-.7950103833810007
Indiana,1218,-3.177332957428813
Iowa,0319,-1.689869387895582
Iowa,0618,-.0972648454662828
Iowa,0619,.8191986556739916
Iowa,0918,-.011750289560708
Iowa,1218,-1.521001913843467
Kansas,0319,-1.796480364999187
Kansas,0618,1.361545909310946
Kansas,0619,-1.827270087526445
Kansas,0918,.0537302740243994
Kansas,1218,-3.112693424559454
Kentucky,0319,-.8713639579001509
Kentucky,0618,-1.853327431016671
Kentucky,0619,1.376379893825219
Kentucky,0918,-.8228844052881046
Kentucky,1218,-5.161192521475488
Louisiana,0319,-2.357340269874819
Louisiana,0618,-.9583691602178313
Louisiana,0619,-.2291825821237548
Louisiana,0918,-.6782542639584777
Louisiana,1218,-4.456058564300546
Maine,0319,-1.004451546627094
Maine,0618,.5612670186162738
Maine,0619,-1.689150236365733
Maine,0918,-1.204686118479226
Maine,1218,-2.584181675802666
Maryland,0319,-1.517450682852806
Maryland,0618,.4042694608437314
Maryland,0619,.4384814608399124
Maryland,0918,-2.03423622685005
Maryland,1218,-3.132999443516971
Massachusetts,0319,-.0787730848901602
Massachusetts,0618,-.4502214127892423
Massachusetts,0619,.0077861911899291
Massachusetts,0918,-1.546219423859141
Massachusetts,1218,-2.935378288387713
Michigan,0319,-.5335294838788807
Michigan,0618,-.6848576105974669
Michigan,0619,.847971523933011
Michigan,0918,-1.061292348965392
Michigan,1218,-1.840306288071192
Minnesota,0319,-1.607052896725436
Minnesota,0618,-.3308448461619151
Minnesota,0619,1.389585786698078
Minnesota,0918,.3568148771714963
Minnesota,1218,-4.110228865016352
Mississippi,0319,-1.998514876837199
Mississippi,0618,-.6100444528515991
Mississippi,0619,.2612773851359274
Mississippi,0918,-1.005138697245089
Mississippi,1218,-5.945471804669378
Missouri,0319,-3.337498264611971
Missouri,0618,-.1772075632187953
Missouri,0619,-.0756422409253221
Missouri,0918,.0479309793896876
Missouri,1218,-4.081940452109722
Montana,0319,-3.287433320927924
Montana,0618,-1.879210495213335
Montana,0619,-.3142637249871738
Montana,0918,-1.656227415080702
Montana,1218,-2.43738134607141
Nebraska,0319,-.8471521268925697
Nebraska,0618,-.5240399759457115
Nebraska,0619,1.205841362176563
Nebraska,0918,-.7743681271230374
Nebraska,1218,-3.716382836751864
Nevada,0319,-.3033563202172851
Nevada,0618,-.7012025295717428
Nevada,0619,.9517575671802891
Nevada,0918,-2.415442996205241
Nevada,1218,-3.739897879822807
New Hampshire,0319,-.3898318849995919
New Hampshire,0618,-.5936890045543319
New Hampshire,0619,-2.11985324092947
New Hampshire,0918,-.3927022825820137
New Hampshire,1218,-.0574948665297725
New Jersey,0319,.8982797307404589
New Jersey,0618,.8194659094993284
New Jersey,0619,.381020155521461
New Jersey,0918,-1.569284517486003
New Jersey,1218,-3.565995914642095
New Mexico,0319,-1.470941562775296
New Mexico,0618,-.8217021966067217
New Mexico,0619,.306166684729603
New Mexico,0918,-10.28752800597461
New Mexico,1218,-2.362122788761711
New York,0319,-1.158178185713876
New York,0618,-.1208803187945917
New York,0619,-4.929335538352153
New York,0918,-2.496446813774233
New York,1218,-4.315780832958138
North Carolina,0319,-.5703909842698418
North Carolina,0618,.1667292664828457
North Carolina,0619,2.328893564651247
North Carolina,0918,1.929285446447349
North Carolina,1218,-9.119743742737807
North Dakota,0319,-1.676914477361657
North Dakota,0618,.3776899429073444
North Dakota,0619,-.7390562819784008
North Dakota,0918,-1.855092754637733
North Dakota,1218,-4.154778887303856
Northern Marianas,0319,.4362416107382527
Northern Marianas,0618,
Northern Marianas,0619,3.775476110925502
Northern Marianas,0918,
Northern Marianas,1218,
Ohio,0319,-2.695044327072327
Ohio,0618,-.2937581230401998
Ohio,0619,3.518585927797524
Ohio,0918,-1.423206454582904
Ohio,1218,-5.224944452091163
Oklahoma,0319,-2.532578926776419
Oklahoma,0618,-.6438064712221303
Oklahoma,0619,1.108520788624534
Oklahoma,0918,-.6618833083041342
Oklahoma,1218,-6.466965285554316
Oregon,0319,-1.589526676987219
Oregon,0618,-1.164264861532738
Oregon,0619,-.6602009091697281
Oregon,0918,-.5884014309922803
Oregon,1218,-3.421090013731709
Pennsylvania,0319,-2.168384947465951
Pennsylvania,0618,.2753004860701624
Pennsylvania,0619,.6674524975316842
Pennsylvania,0918,-1.275498393473895
Pennsylvania,1218,-3.772293060837839
Rhode Island,0319,-.9218907140462584
Rhode Island,0618,1.548483554036739
Rhode Island,0619,.7556533017538003
Rhode Island,0918,-3.328425701966553
Rhode Island,1218,-3.149306499864024
South Carolina,0319,-.8715719925494692
South Carolina,0618,-2.12759046319756
South Carolina,0619,-.9761401103770995
South Carolina,0918,-3.068821700795421
South Carolina,1218,-2.968534222029473
South Dakota,0319,-2.588846000266209
South Dakota,0618,.0828078221542849
South Dakota,0619,-1.673840267814442
South Dakota,0918,-.8464867617107963
South Dakota,1218,-3.04255728865781
Tennessee,0319,-2.497527200791294
Tennessee,0618,.3456275744519566
Tennessee,0619,-3.423788993152421
Tennessee,0918,-3.937435123148059
Tennessee,1218,-6.125723454243315
Texas,0319,-.8518667166254712
Texas,0618,-4.462794727721475
Texas,0619,1.355996002814153
Texas,0918,-1.962277010852986
Texas,1218,-5.101156920075245
Utah,0319,-1.879503919398195
Utah,0618,-4.364295788837391
Utah,0619,-2.143432715551974
Utah,0918,-2.559834822181017
Utah,1218,-3.695215031676358
Vermont,0319,-1.267382503080439
Vermont,0618,2.041540919581042
Vermont,0619,.8379390265644604
Vermont,0918,.9568545581071675
Vermont,1218,-2.197139410649662
Virginia,0319,.5132393477312647
Virginia,0618,-.5451387342448655
Virginia,0619,1.033240997229923
Virginia,0918,1.474210276481602
Virginia,1218,-5.295721939293374
Washington,0319,-3.026842651638739
Washington,0618,-2.141639802057449
Washington,0619,-1.747235773601064
Washington,0918,-3.003343265209057
Washington,1218,-4.219065474473604
West Virginia,0319,-.4880778437529099
West Virginia,0618,-2.339925869337633
West Virginia,0619,1.793189628241176
West Virginia,0918,-2.057017035577702
West Virginia,1218,-5.244631130568534
Wisconsin,0319,-2.232639167459394
Wisconsin,0618,-.7503017517914823
Wisconsin,0619,1.366892137439479
Wisconsin,0918,-.0372508847085173
Wisconsin,1218,-3.337388616709958
Wyoming,0319,-2.405938059892498
Wyoming,0618,-2.946954813359526
Wyoming,0619,-2.963545764489905
Wyoming,0918,-5.334603477018341
Wyoming,1218,-2.52830188679245
