state_name,semester,med_chan
Alabama,0319,.2750344634472102
Alabama,0519,.2411989959014926
Alabama,0618,.3383616490533869
Alabama,0918,.7043626847332618
Alabama,1218,-.5030603510925213
Alaska,0319,.6759916035774305
Alaska,0519,.6284271142469766
Alaska,0618,2.516612029239251
Alaska,0918,-.6880478853017569
Alaska,1218,-.1074206379367171
Arizona,0319,.0677261659604023
Arizona,0519,-.2016756710123468
Arizona,0618,.2344389339384412
Arizona,0918,.1950860958992884
Arizona,1218,.3999059784152603
Arkansas,0319,.2514238801375024
Arkansas,0519,-3.328646111359768
Arkansas,0618,.0818873363642725
Arkansas,0918,-1.352105664134695
Arkansas,1218,-3.05567358120834
California,0319,-.4005403286203801
California,0519,-.2002297256460728
California,0618,-1.114549939333997
California,0918,-.3916125528136916
California,1218,-.5117436334247438
Colorado,0319,-.7685838971038694
Colorado,0519,.6343545540732576
Colorado,0618,-.1937933660349667
Colorado,0918,.3162209051664089
Colorado,1218,-1.680645311339624
Connecticut,0319,.6719644596488772
Connecticut,0519,-.0905883022519038
Connecticut,0618,-1.138255918518716
Connecticut,0918,.2816502673136823
Connecticut,1218,.8579455870449282
Delaware,0319,-.1459461050896116
Delaware,0519,-.0784926043930545
Delaware,0618,-.2661304630670047
Delaware,0918,.3316216467721844
Delaware,1218,.0353788485027096
District of Columbia,0319,.89695235798255
District of Columbia,0519,-.1793370712401043
District of Columbia,0618,-.4679369747387141
District of Columbia,0918,-.4958385710647217
District of Columbia,1218,.148519140404213
Florida,0319,-.767939596370304
Florida,0519,-.2658733587828976
Florida,0618,-1.418290362870367
Florida,0918,-.3376262111561612
Florida,1218,-.702716184870178
Georgia,0319,-.3414464341273904
Georgia,0519,-.0176022747555016
Georgia,0618,-.9296860160003084
Georgia,0918,-3.956129171876499
Georgia,1218,.3378119241310706
Hawaii,0319,-.2608698501964768
Hawaii,0519,-.09070682305925
Hawaii,0618,-2.899939713406807
Hawaii,0918,-1.013643105564643
Hawaii,1218,-.672849609019821
Idaho,0319,1.452814621020204
Idaho,0519,.6339877504799585
Idaho,0618,-1.593888970288326
Idaho,0918,1.484636252132465
Idaho,1218,.8145639155651363
Illinois,0319,-1.84482972910589
Illinois,0519,.139019948501562
Illinois,0618,.2955945724562925
Illinois,0918,-.9261302198533605
Illinois,1218,-2.610091722571695
Indiana,0319,.9231579355631681
Indiana,0519,-.2492792082101292
Indiana,0618,-1.238077031803686
Indiana,0918,.2739711698950043
Indiana,1218,-.6641651561315354
Iowa,0319,-.1350051633836391
Iowa,0519,.0950542776035901
Iowa,0618,.6562970957743053
Iowa,0918,.7470584877814046
Iowa,1218,.2502920612658111
Kansas,0319,-2.727914602331205
Kansas,0519,.0663586781351366
Kansas,0618,-1.928417155199014
Kansas,0918,-.5515625608561336
Kansas,1218,-.7535246225688796
Kentucky,0319,-.0496203026039588
Kentucky,0519,.167711254594427
Kentucky,0618,-2.565259285581678
Kentucky,0918,-1.375617336291246
Kentucky,1218,.0551232853478023
Louisiana,0319,-.9458434500060564
Louisiana,0519,-.4701159359106644
Louisiana,0618,-.8586362492359667
Louisiana,0918,.5347103860207758
Louisiana,1218,-1.110905054257605
Maine,0319,.8397154921888861
Maine,0519,-1.426675913269004
Maine,0618,-.9778698689754561
Maine,0918,-1.407489184413069
Maine,1218,-1.028354993118885
Maryland,0319,.7823584747128187
Maryland,0519,.3193605238816843
Maryland,0618,-1.689841147314541
Maryland,0918,-.174623860549139
Maryland,1218,.1226437109445921
Massachusetts,0319,.3001433195241265
Massachusetts,0519,.4086960721207955
Massachusetts,0618,-2.553583119573266
Massachusetts,0918,-.0606246438477176
