state_name,semester,snap_chan_t
Alabama,0318,-.8699011104817189
Alabama,0319,-1.430599184305092
Alabama,0618,-1.05131571377014
Alabama,0619,-.8336143372821292
Alabama,0918,-.7243140094830847
Alabama,1218,-1.594308039428405
Alaska,0318,-4.536225633041225
Alaska,0319,-.0243323098314097
Alaska,0618,-.9829742685547371
Alaska,0619,1.185619581845998
Alaska,0918,-4.250275449901508
Alaska,1218,-1.695841179068736
Arizona,0318,-2.561721536752237
Arizona,0319,-4.409278536304894
Arizona,0618,-.1383911103216007
Arizona,0619,.5248017565212315
Arizona,0918,.780295026520661
Arizona,1218,-2.945192817999132
Arkansas,0318,-1.341372947086916
Arkansas,0319,-.6179739441327103
Arkansas,0618,-3.011961146343423
Arkansas,0619,-3.634054785727248
Arkansas,0918,0
Arkansas,1218,.3247308623990808
California,0318,-.5938819519130001
California,0319,-1.35118965857679
California,0618,-2.152059472649581
California,0619,2.684268624301112
California,0918,-1.235801709893325
California,1218,-1.893289807158527
Colorado,0318,-.88090521969868
Colorado,0319,-.9129001326660613
Colorado,0618,-1.932281431733596
Colorado,0619,-1.618811531187581
Colorado,0918,3.080148545529382
Colorado,1218,.1781588641714293
Connecticut,0318,-2.940604585272477
Connecticut,0319,-1.330127385276514
Connecticut,0618,-1.759799355815617
Connecticut,0619,-.7845480866577659
Connecticut,0918,.0135064274704888
Connecticut,1218,-1.474914537043659
Delaware,0318,-2.656878897207571
Delaware,0319,-6.088971002150667
Delaware,0618,-1.698909527176129
Delaware,0619,-3.356003842459176
Delaware,0918,-.6472844564554103
Delaware,1218,-1.934030900622252
District of Columbia,0318,-2.955855475889213
District of Columbia,0319,-90.64701587881
District of Columbia,0618,2.937235159900031
District of Columbia,0619,939.8575470777637
District of Columbia,0918,-.9666807402716193
District of Columbia,1218,-1.175070388759114
Florida,0318,-6.448930112362139
Florida,0319,-3.733745889954287
Florida,0618,1.442901021011456
Florida,0619,.2984394053651585
Florida,0918,-3.297821284876534
Florida,1218,.0861707063788408
Georgia,0318,-3.41425757600422
Georgia,0319,-2.615963214566552
Georgia,0618,.2342026640633987
Georgia,0619,-5.859132503065068
Georgia,0918,-2.707893841662712
Georgia,1218,-3.357302671723761
Idaho,0318,-.9358986160974525
Idaho,0319,-1.328669468532218
Idaho,0618,-3.930739685293028
Idaho,0619,-3.011228079634443
Idaho,0918,-3.667902627760766
Idaho,1218,-.0522133786741819
Illinois,0318,3.258003434178791
Illinois,0319,-3.80681538250992
Illinois,0618,-2.449617354090716
Illinois,0619,.8148148569692149
Illinois,0918,-3.784760560712563
Illinois,1218,1.132219964736181
Indiana,0318,-.9707479990018975
Indiana,0319,-2.879681739435758
Indiana,0618,-2.919471054837597
Indiana,0619,-9.975869507755009
Indiana,0918,.1638815128343296
Indiana,1218,-2.889894008428162
Iowa,0318,-1.561105776176352
Iowa,0319,-2.39888747247653
Iowa,0618,-2.195632906292799
Iowa,0619,-1.792298366433775
Iowa,0918,-1.905389580967287
Iowa,1218,-1.645760973239507
Kansas,0318,-1.497504159733776
Kansas,0319,-3.129535202980982
Kansas,0618,-1.209737134394673
Kansas,0619,-.2201673271686522
Kansas,0918,-.4422249913335174
Kansas,1218,-3.357299479583287
Kentucky,0318,-1.130851650553166
Kentucky,0319,-4.772093843711412
Kentucky,0618,-2.883701563508179
Kentucky,0619,-2.332327492789621
Kentucky,0918,-5.21731161662693
Kentucky,1218,-2.138988499634842
Louisiana,0318,.7350493315900763
Louisiana,0319,-.3733362924056682
Louisiana,0618,-1.784705529876984
Louisiana,0619,-1.490897075257691
Louisiana,0918,-1.166636976803481
Louisiana,1218,-2.318641847468195
Maine,0318,.7303025873410363
Maine,0319,-1.015525579027743
Maine,0618,-4.641443282213221
Maine,0619,.4294052608572629
Maine,0918,-2.551163272014512
Maine,1218,-1.912085303616162
Maryland,0318,-1.352161204836633
Maryland,0319,-1.704460272853991
Maryland,0618,-1.061348787706939
Maryland,0619,-.9147919489222223
Maryland,0918,.1085140330159051
Maryland,1218,-1.684301345150785
Massachusetts,0318,-1.245163396247351
Massachusetts,0319,-.6099408103217074
Massachusetts,0618,.4900526241527592
Massachusetts,0619,.0291536303558271
Massachusetts,0918,-.4599709560453413
Massachusetts,1218,-.3877796512987142
Michigan,0318,-1.37281079814866
Michigan,0319,-48.62581283321872
Michigan,0618,-2.233606159745105
Michigan,0619,-1.67551282192212
Michigan,0918,-2.305198207667902
Michigan,1218,-2.58022415956416
Minnesota,0318,-2.759760730555916
Minnesota,0319,-2.879420960540024
Minnesota,0618,-1.336401618394623
Minnesota,0619,-.676098074831033
Minnesota,0918,.8839639054046389
Minnesota,1218,-2.13902476578508
Mississippi,0318,-1.404500941912779
Mississippi,0319,-2.905992868305407
Mississippi,0618,-1.646365895493962
Mississippi,0619,-.7122833304803455
Mississippi,0918,-3.786349314656123
Mississippi,1218,-2.343859180723495
Missouri,0318,-1.06910866715475
Missouri,0319,-2.399587288369631
Missouri,0618,-1.985415037877769
Missouri,0619,-1.998667076502336
Missouri,0918,-1.756904876837873
Missouri,1218,-1.538588602881474
Montana,0318,-.0588335607094148
Montana,0319,.099211868335658
Montana,0618,-3.088447330028754
Montana,0619,-1.053197106255266
Montana,0918,-2.354940092084756
Montana,1218,-2.793104691838866
Nebraska,0318,-.7092897251502306
Nebraska,0319,.6412349161959652
Nebraska,0618,-1.808069194539608
Nebraska,0619,-1.945110904372516
Nebraska,0918,-1.633926714018252
Nebraska,1218,-2.28585585150094
Nevada,0318,-.6989889664286153
Nevada,0319,-1.614761653937324
Nevada,0618,.1216858272471422
Nevada,0619,.2880039770839726
Nevada,0918,-.5080012472432061
Nevada,1218,-2.142120204878561
New Hampshire,0318,-.8038001949980722
New Hampshire,0319,-2.404231243563504
New Hampshire,0618,-2.576088323028214
New Hampshire,0619,-3.136968812693786
New Hampshire,0918,-3.696491207489183
New Hampshire,1218,-4.920089655508453
New Jersey,0318,-.9682559455223005
New Jersey,0319,-3.468515956161733
New Jersey,0618,-1.869360929347674
New Jersey,0619,-1.502215497676429
New Jersey,0918,-1.747147616281786
New Jersey,1218,-1.963715431134061
New Mexico,0318,-.643154746996033
New Mexico,0319,-1.396305815610388
New Mexico,0618,-.7582366996207734
New Mexico,0619,.4810300390541533
New Mexico,0918,.4578877965060846
New Mexico,1218,-.9296312257587869
New York,0318,-.2410733804625975
New York,0319,-.8646608063932359
New York,0618,-1.941814940256881
New York,0619,-2.182929816979196
New York,0918,-1.311525954509074
New York,1218,-1.130345710627401
North Carolina,0318,
North Carolina,0319,
North Carolina,0618,
North Carolina,0619,
North Carolina,0918,
North Carolina,1218,
North Dakota,0318,-.6872467178366648
North Dakota,0319,-2.792443739586048
North Dakota,0618,-1.622821038379807
North Dakota,0619,-1.319648093841641
North Dakota,0918,-3.025842954354308
North Dakota,1218,-2.260855853192201
Ohio,0318,-1.399746461018381
Ohio,0319,-1.800894024422961
Ohio,0618,-.6637804400109415
Ohio,0619,.2310205600304593
Ohio,0918,-.9731954373702778
Ohio,1218,.811143913554413
Oklahoma,0318,-1.356675669298424
Oklahoma,0319,-1.728470966655027
Oklahoma,0618,-.1113415190287292
Oklahoma,0619,.9985560702488572
Oklahoma,0918,.2442940625172252
Oklahoma,1218,-1.133250610965408
Oregon,0318,-2.149181767530306
Oregon,0319,-1.541667009808367
Oregon,0618,-1.444173149357408
Oregon,0619,-.7772155075070009
Oregon,0918,-1.650182446706361
Oregon,1218,-1.171791729926497
Pennsylvania,0318,-.5391718146296687
Pennsylvania,0319,-1.125453743596705
Pennsylvania,0618,-.8806294442981311
Pennsylvania,0619,-.439694289807091
Pennsylvania,0918,-.5397146985070655
Pennsylvania,1218,-1.511387163561073
Rhode Island,0318,
Rhode Island,0319,
Rhode Island,0618,
Rhode Island,0619,
Rhode Island,0918,
Rhode Island,1218,
South Carolina,0318,-.7120104093874424
South Carolina,0319,-2.632379196013424
South Carolina,0618,-4.331837037214137
South Carolina,0619,-.8528236876438777
South Carolina,0918,-3.015686819666397
South Carolina,1218,-.5469374081995548
South Dakota,0318,-1.870740724243913
South Dakota,0319,-.9152426853609841
South Dakota,0618,-2.588398166220329
South Dakota,0619,-.5527440672136841
South Dakota,0918,-3.328168866418924
South Dakota,1218,-1.756922854457377
Tennessee,0318,-2.471908537982903
Tennessee,0319,-2.148009434881437
Tennessee,0618,-3.680952004671356
Tennessee,0619,-3.184964969543258
Tennessee,0918,-.8730209465362515
Tennessee,1218,-1.807314383492442
Texas,0318,-2.959608115720092
Texas,0319,-5.703572667947554
Texas,0618,-2.464905919487681
Texas,0619,-.0844340881537398
Texas,0918,-.464587081135992
Texas,1218,-2.945986818145485
Utah,0318,-.6559307502401635
Utah,0319,-1.448721531766362
Utah,0618,-3.395928213446464
Utah,0619,-1.878613553102948
Utah,0918,-3.112756705558184
Utah,1218,-3.246645040881624
Vermont,0318,-1.997606064636259
Vermont,0319,-41.36961466473061
Vermont,0618,-2.909564650960805
Vermont,0619,-3.218140693446336
Vermont,0918,-1.291512915129156
Vermont,1218,1.237609742282642
Virgin Islands,0318,2.32533633074572
Virgin Islands,0319,-12.80221796387654
Virgin Islands,0618,-2.825169063883837
Virgin Islands,0619,-1.346612428110538
Virgin Islands,0918,2.207856436343092
Virgin Islands,1218,-11.30542978605744
Virginia,0318,-.9423589754618433
Virginia,0319,-.6367945470767022
Virginia,0618,-1.040065239839183
Virginia,0619,-.6461240359559861
Virginia,0918,-1.353200568209867
Virginia,1218,-1.128101201074727
Washington,0318,-.6319028702512219
Washington,0319,-49.64233295461749
Washington,0618,-2.359113651643063
Washington,0619,-1.481026018417209
Washington,0918,-1.882466374643332
Washington,1218,-1.012892426757195
West Virginia,0318,-1.075667769522537
West Virginia,0319,-3.344775539577505
West Virginia,0618,-2.124513739286771
West Virginia,0619,.2658645704985974
West Virginia,0918,-.1117934133727738
West Virginia,1218,-3.151473646832037
Wisconsin,0318,-1.051165661720976
Wisconsin,0319,-2.192990124630245
Wisconsin,0618,-2.104580871623918
Wisconsin,0619,-.7550248316388841
Wisconsin,0918,-.9037909484131967
Wisconsin,1218,-1.905782121941202
Wyoming,0318,-1.106144157666333
Wyoming,0319,-5.487521867971012
Wyoming,0618,-5.335225023096212
Wyoming,0619,-2.39498337866425
Wyoming,0918,-5.939144679516229
Wyoming,1218,1.000481713417578
